id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,365384,0,3,1071,386,1021.75,179.015625,1.0479185581207275,0.9919058084487915,0,0,1072,603
1,116800,0,467,1071,133,418.75,499.359375,1.0349079370498657,0.9718413352966309,0,0,1072,603
2,39206,582,231,188,357,586.25,329.765625,1.027262568473816,0.9752311706542969,0,0,1072,603
3,188662,0,382,1071,218,954.75,537.046875,0.9975634813308716,0.9582201838493347,0,0,1072,603
4,31518,456,191,187,387,519.25,480.515625,0.996701717376709,0.9604095816612244,0,0,1072,603
5,188596,0,221,1071,379,686.75,574.734375,0.9963843822479248,0.9612852931022644,0,0,1072,603
6,189360,0,6,1071,594,385.25,593.578125,0.9914041757583618,0.9648391008377075,0,0,1072,603
7,25568,759,383,312,85,988.25,405.140625,0.9886053204536438,0.9650527238845825,0,0,1072,603
8,68788,0,381,1071,106,418.75,461.671875,0.9854936599731445,0.9641000628471375,0,0,1072,603
9,1817,668,253,57,57,686.75,292.078125,0.9786666631698608,0.9847161769866943,0,0,1072,603
10,41566,0,389,601,98,385.25,442.828125,0.9726467728614807,0.9597899913787842,0,0,1072,603
11,1015,695,424,47,35,720.25,442.828125,0.9665635228157043,0.984329104423523,0,0,1072,603
12,3900,453,249,235,83,586.25,310.921875,0.9655364751815796,0.9736642241477966,0,0,1072,603
13,798,455,190,38,24,485.75,197.859375,0.9612055420875549,0.9863013625144958,0,0,1072,603
14,277,515,565,25,13,519.25,574.734375,0.9575566649436951,0.982206404209137,0,0,1072,603
15,1887,598,232,127,78,720.25,292.078125,0.9573132991790771,0.9551083445549011,0,0,1072,603
16,39461,496,230,274,358,753.75,461.671875,0.9439022541046143,0.9600276947021484,0,0,1072,603
17,225166,0,3,1071,252,184.25,235.546875,0.9401333332061768,0.9528875350952148,0,0,1072,603
18,584,600,339,47,23,619.75,348.609375,0.9349141120910645,0.9897435903549194,0,0,1072,603
19,409,949,509,44,13,988.25,518.203125,0.9306555986404419,0.9759615659713745,0,0,1072,603
20,1096,453,249,52,34,485.75,273.234375,0.9305840730667114,0.9801084995269775,0,0,1072,603
21,2893,0,200,102,40,50.25,216.703125,0.9248260855674744,0.9518194198608398,0,0,1072,603
22,378,269,534,43,11,284.75,537.046875,0.9226608276367188,0.9894459247589111,0,0,1072,603
23,1013,455,190,55,24,485.75,197.859375,0.9224172830581665,0.9652844667434692,0,0,1072,603
24,403,364,469,44,11,385.25,480.515625,0.9205579161643982,0.9754902124404907,0,0,1072,603
25,358,512,271,21,19,519.25,273.234375,0.9169593453407288,0.9833333492279053,0,0,1072,603
26,326,409,573,49,9,418.75,574.734375,0.9158439636230469,0.9697884917259216,0,0,1072,603
27,158,885,493,24,7,887.75,499.359375,0.9152871966362,0.9748427867889404,0,0,1072,603
28,229,886,493,38,8,921.25,499.359375,0.8970495462417603,0.9613733887672424,0,0,1072,603
29,1059,284,465,59,25,284.75,480.515625,0.8906110525131226,0.9720410108566284,0,0,1072,603
30,219,836,479,39,7,854.25,480.515625,0.8894202709197998,0.9639639854431152,0,0,1072,603
31,224,995,518,32,10,1021.75,518.203125,0.8886646628379822,0.9867256879806519,0,0,1072,603
32,238,801,553,57,6,854.25,555.890625,0.8839967250823975,0.9590163826942444,0,0,1072,603
33,70,912,496,13,5,921.25,499.359375,0.8836761713027954,0.98591548204422,0,0,1072,603
34,245,886,493,92,27,887.75,499.359375,0.881058931350708,0.9674796462059021,0,0,1072,603
